question_text,answer1_text,answer2_text,answer3_text,correct_id
be,быть,делать,в качестве,1
and,и,данные,до тех пор,1
of,третий,будет,из/от/об,3
in,в,правда,музыка,1
have,прибывать,носить (одежду),иметь,3
it,это,что,магазин,1
I,фигура,я,пол/этаж,2
that,спор,тот,предлагать,2
for,отчет,для,наименее,2
you,ты/вы,почти,специльно,1
he,он,болтовня,риск,1
with,с,идея,родитель,1
on,от,дарить,мой,1
do,делать,на самом деле,восемь,1
say,казаться,половина,сказать,3
this,этот,деталь,точка,1
they,информация,они,продукт,2
at,назад,догадываться,на/в,3
but,оба,огромный,но,3
we,получать,мы,кандидат,2
his,проходить,его,основа,2
from,четыре,из/с,поддерживать,2
not,спектр,важно,не,3
she,план,она,выборы,2
or,или,бизнес,позволять,1
as,как,вещь,приватный,1
what,что,кусочек,интерес,1
go,количество,официальный,идти,3
their,между,нести,их,3
can,может,тяжелый,разрешать,1
who,предлагать,центральный,кто,3
get,жена,миллион,получать,3
if,место,если,водить,2
would,бы,вещь,огонь,1
her,покидать,ее,решать,2
all,все,воздействовать,пространство,1
my,сила,нам/нас,мое,3
make,носить (одежду),делать,значительно,2
about,действовать,много,о/об,3
know,представлять,возрастать,знать,3
will,наконец,половина,будет,3
up,телевидение,церковь,вверх,3
one,неделя,этой ночью,единственный,3
time,время,банк,здоровье,1
there,значит,воображать,это,3
year,процесс,год,город,2
so,так,событие,старый,1
think,думать,структура,пациент,1
when,беспокойство,лучший,когда,3
which,сторона,который,мистер,2
them,процесс,на/по,им,3
some,последний,лгать,некоторые,3
me,платить,скорее,мой,3
people,пространство,люди,много,2
take,лицо,за,брать,3
out,интервью,этот,из/вне,3
into,ранее,внутри,поле,2
just,сообщество,рисовать,просто,3
see,видеть,ничего,прошлое,1
him,встреча,его,фильм,2
your,мальчик,твой,программа,2
come,приходить,снаружи,представление,1
could,рыба,установить,мог,3
now,принуждать,сейчас,что-нибудь,2
than,между,как,все,2
like,степень,нравиться,жизнь,2
other,иной,война,лежать,1
how,долго,как,разум,2
then,позднее,тогда,тянуть,2
its,уже,этого,лето,2
our,момент,наше,кандидат,2
two,два,земля,будущее,1
more,жить,больше,развитие,2
these,наслаждаться,развитие,эти,3
want,сами,мечта/сон,хотеть,3
way,иногда,мальчик,способ,3
look,вид,единственный,приказ,1
first,любой,первый,о/об,2
also,комната,также,долго,2
new,управлять,новый,видеть,2
because,брат,так как,включать,2
day,решение,боль,день,3
use,голова,сравнивать,использовать,3
no,тоно,учение,нет,3
man,человек/мужчина,похожий,федеральный,1
find,комната,находить,управлять,2
here,здесь,час,личный,1
thing,тоно,убыток,вещь,3
give,довольно,давть,только,2
many,многие,строить,давление,1
well,здорово,век,увеличивать,1
only,только,снаружи,вид,1
those,подготавливать,близко,те,3
tell,вешать,мечта/сон,рассказывать,3
very,продолжать,очень,звонок,2
even,даже,кусочек,плохой,1
back,медиа,зад,план,2
any,любой,почти,федеральный,1
good,однако,хороший,мальчик,2
woman,другие,право,женщина,3
thought,намерение,половина,лгать,1
us,день,нам/нас,ситуация,2
life,снаряжение,жизнь,пример,2
child,мир,ребенок,конкректный,2
work,работа,идея,двигаться,1
down,вниз,прежде чем,иметь значение,1
after,мечта/сон,юрист,после,3
should,движение,должен,любовь,2
call,звонок,вечер,устанавливать,1
world,часть,мир,степень,2
over,продукт,рисовать,сверх,3
school,школа,высокий,уже,1
still,ответ,до сих пор,хотеть,2
try,становиться,пытаться,радио,2
last,продолжать,демократ,последний,3
ask,также,спрашивать,качество,2
need,стена,им,необходимость,3
too,регион,что-нибудь,тоже,3
feel,отчет,строить,чувствовать,3
state,большой,государство,снова,2
never,на,никогда,общий,2
become,становиться,наука,из/от/об,1
between,меньший,между,помнить,2
high,сегодня,удалять,высокий,3
really,счастливый,демократ,действительно,3
something,миллиард,правительство,что-нибудь,3
most,животное,большинство,вести,2
another,поэтому,другой,роль,2
much,установить,значительно,выполнять,2
family,двигаться,звонок,семья,3
own,им,личный,мы,2
leave,влиять,покидать,выбор,2
put,удар,полномочие,положил,3
old,правильно,персонаж,старый,3
while,этой ночью,хороший,пока,3
mean,сделка,значит,в пределах,2
keep,записывать,бежать,хранить,3
student,значительно,студент,модель,2
why,почему,рост,здорово,1
let,позволять,муж,тело,1
great,великий,деньги,лекарство,1
same,одинаковый,блюдо,нселение,1
big,большой,нет,недавно,1
group,в качестве,группа,экономический,2
begin,начинать,интервью,шанс,1
seem,умирать,казаться,книга,2
country,волосы,страна,семь,2
help,помощь,друг,бедный,1
talk,болтовня,разрешать,результат,1
where,родитель,лучше,где,3
turn,правило,поворачивать,каждый,2
problem,проблема,плечо,выбирать,1
every,прочь,позднее,каждый,3
start,начинать,объяснять,деталь,1
hand,стратегия,рука,понимать,2
might,звать,может,музыка,2
American,месяц,нуждаться,американец,3
show,показывать,финансовый,любой,1
part,животное,защищать,часть,3
against,против,масло,проблема,1
place,республиканец,смотреть,место,3
such,память,местность,такой,3
again,снова,появляться,другие,1
few,несколько,бедный,песня,1
case,случай,снова,окно,1
week,неделя,кровь,она,1
company,нация,компания,состоять из,2
system,только,сообщение,система,3
each,медицинский,каждый,ломать,2
right,право,фонд,страна,1
program,программа,выбор,станция,1
hear,горячий,слышать,раньше,2
question,политика,вопрос,мистер,2
during,что-нибудь,на протяжение,сообщество,2
play,художник,стиль,игра,3
government,правительство,бывший,воздействовать,1
run,сообщество,год,бежать,3
small,дом,банк,маленький,3
number,установить,количество,успех,2
off,докзательства,тест,от/прочь,3
always,сама,общий,всегда,3
move,разрешать,двигаться,деталь,2
night,установить,управлять,ночь,3
live,встреча,жить,нуждаться,2
Mr,государство,мистер,магазин,2
point,дом,некоторые,точка (зрения),3
believe,верить,если,край,1
hold,реализовывать,держать,снаряжение,2
today,персонаж,преступление,сегодня,3
bring,нести,поведение,в соответствии,1
happen,развивать,случаться,цена,2
next,следующий,общественный,управлять,1
without,глаз,индивидуальный,без,3
before,станция,песня,прежде чем,3
large,больше,тип,огромный,3
million,миллион,внутри,текущий,1
must,должен,слушать,звонок,1
home,персонал,домой,учить,2
under,под,навык,поэтому,1
water,сильный,вода,туда,2
room,долго,коробка,комната,3
write,который,снова,пиать,3
mother,выполнять,состояние,мама,3
area,местность,убыток,от/с,1
national,закон,национальный,бы,2
money,деньги,помощь,сердце,1
story,на,история,слышать,2
young,молодой,устанавливать,среди,1
fact,здоровье,факт,третий,2
month,пометка,проходить,месяц,3
different,поворачивать,делиться,разный,3
lot,уровень,много,индивидуальный,2
study,учение,должен,коробка,1
book,большой,книга,о/об,2
eye,глаз,черный,технология,1
job,находить,энергия,работа,3
word,десятилетие,слово,ожидать,2
though,тип,окно,хотя,3
business,бизнес,ловить,медиа,1
issue,проблема,начальный,докладывать,1
side,определенный,сторона,зеленый,2
kind,вид,развивать,защищать,1
four,четыре,сверх,каждый,1
head,требовать,глава,секс,2
far,право,сильный,далекий,3
black,медицинский,знать,черный,3
long,форма,возможный,долго,3
both,статья,оба,комната,2
little,хотя,мало,приблизительно,2
house,дом,имущество,большинство,1
yes,земля,да,больница,2
since,само,с тех пор,докладывать,2
provide,низкий,директор,снабжать,3
service,сцена,автомобиль,сервис,3
around,объяснять,вокруг,мы,2
friend,друг,законный,покупать,1
important,важный,становиться,глаз,1
father,бедный,отец,культура,2
sit,сидеть,нести,утверждение,1
away,война,довольно,прочь,3
until,до тех пор,поддерживать,вниз,1
power,цена,сила,земля,2
hour,час,возможно,дарить,1
game,клеточка,игра,край,2
often,полиция,часто,однажды,2
yet,через,из/вне,до сих пор,3
line,искать,находить,линия,3
political,политический,их,вечеринка,1
end,конец,уровень,технология,1
among,будущее,среди,летать,2
ever,выбирать,который,всегда,3
stand,стоять,четыре,чей,1
bad,глаз,плохой,младенец,2
lose,догадываться,воздух,терять,3
however,сезон,основа,однако,3
member,участник,надеяться,единственный,1
pay,платить,политический,этап,1
law,к,закон,предлагать,2
meet,мог,степень,встречать,3
car,главный,и,автомобиль,3
city,снижать,город,мера,2
almost,почти,снова,вода,1
include,шаг,темный,включать,3
continue,продолжать,каждый,физический,1
set,я,эти,набор,3
later,позднее,хотя,учить,1
community,стратегия,сообщество,покидать,2
name,забывать,фильм,имя,3
five,лекарство,свободный,пять,3
once,песня,искать,однажды,3
white,стиль,фильм,белый,3
least,американский,сильный,наименее,3
president,президент,положил,банк,1
learn,учить,темный,борт,1
real,на самом деле,настоящий,бежать,2
change,определенный,тоже,менять,3
team,несмотря на,команда,человек/мужчина,2
minute,степень,минута,большой,2
best,лучший,работа,стандарт,1
several,президент,несколько,внутри,2
idea,ничего,идея,лидер,2
kid,плечо,ребенок,серьезный,2
body,тело,тренировка,младенец,1
information,информация,защита,мир,1
nothing,ничего,чашка,об,1
ago,место,тому назад,третий,2
lead,вести,заполнять,пример,1
social,брат,в пределах,социальный,3
understand,прибывать,весна,понимать,3
whatever,ты/вы,догадываться,любой,3
watch,продавать,смотреть,с тех пор,2
together,вместе,вешать,черный,1
fellow,человек,муж,преступление,1
parent,родитель,требовать,сказать,1
stop,этого,останавливаться,до сих пор,2
face,растение,толкать,лицо,3
anything,семь,такой,что-нибудь,3
create,республиканец,создавать,ожидать,2
public,жена,общественность,таким образом,2
already,уже,тебя самого,кампания,1
speak,меньше,общаться,серьезный,2
others,другие,образование,проходить,1
read,отлично,читать,о/об,2
level,уровень,нам/нас,родитель,1
allow,телефон,красиво,разрешать,3
add,звонок,добавлять,дорога,2
office,офиц,хотя,огонь,1
spend,боль,процесс,проводить,3
door,дверь,получать,твой,1
health,история,здоровье,легко,2
person,человек,ожидать,поэтому,1
art,первый,искусство,снаружи,2
sure,оставаться,голос,конечно,3
war,война,домой,век,1
history,история,сын,запас,1
party,компания,количество,вечеринка,3
within,в пределах,соглашаться,цель,1
grow,атака,расти,север,2
result,результат,серьезный,счет,1
open,открытый,знак/подпись,любовь,1
morning,причина,сайт,утро,3
walk,гулять,прошлое,мало,1
reason,кровать,причина,к,2
low,я,низкий,улучшать,2
win,программа,побеждать,преподавать,2
research,помнить,исследование,улица,2
girl,девочка,голос,основа,1
guy,стоять,несколько,парень,3
early,умирать,количество,начальный,3
food,сеть,еда,в,2
moment,момент,коробка,улучшать,1
himself,кусочек,будет,сам,3
air,холодный,земля,воздух,3
teacher,так,учитель,лежать,2
force,команда,принуждать,работать,2
offer,приказ,предлагать,чувство,2
enough,многие,достаточно,пространство,2
education,фонд,само,образование,3
across,лекарство,через,знания,2
although,ее,тысяча,хотя,3
remember,формировать,помнить,предлагать,2
second,темп,под,второй,3
boy,центр,важно,мальчик,3
maybe,возможно,знания,забывать,1
toward,система,настоящий,к,3
able,значение,боль,способен,3
age,сделка,поддерживать,возраст,3
policy,роль,политика,дочь,2
everything,быстро,покрывать,все,3
love,любовь,демократический,жена,1
process,видение,летать,процесс,3
music,музыка,система,скорее,1
including,теория,включая,менеджер,2
consider,рассматривать,очень,разрешать,1
appear,появляться,семья,реагировать,1
actually,падать,система,на самом деле,3
buy,покупать,пять,поддерживать,1
probably,помнить,вечер,вероятно,3
human,улучшать,десять,человек,3
wait,ждать,никогда,быстро,1
serve,обслуживать,общественность,менять,1
market,коробка,ресурс,рынок,3
die,кандидат,умирать,стакан,2
send,ответ,отправлять,держать,2
expect,форма,рост,ожидать,3
sense,правда,смысл,отлично,2
build,нота,строить,книга,2
stay,чувствовать,прибывать,оставаться,3
fall,падать,поэтому,раса,1
nation,юрист,нация,сердце,2
plan,идти,материал,план,3
cut,казаться,утверждение,резать,3
college,с,колледж,план,2
interest,интерес,как,общаться,1
death,много,одинаковый,смерть,3
course,принуждать,все,блюдо,3
someone,кое-кто,среди,быстро,1
experiance,решение,сохранять,опыт,3
behind,сзади/за,лучше,практика,1
reach,достигать,автор,большинство,1
local,маленький,местный,запас,2
kill,лгать,испытание,убивать,3
six,шесть,выбор,сравнивать,1
remain,знания,оставаться,на/по,2
effect,похожий,влиять,посещать,2
suggest,звезда,предлагать,волосы,2
class,двигаться,класс,главный,2
control,контроль,доктор,личный,1
raise,сервис,расти,бедный,2
care,такой,заботиться,секс,2
perhaps,возможно,соглашаться,страна,1
late,поздний,красивый,белый,1
hard,масло,сложный,состоять из,2
field,через,поле,заканчивать,2
else,боль,специльно,другой,3
pass,каждый,проходить,топ,2
former,когда,конец,бывший,3
sell,думать,требовать,продавать,3
major,парень,основной,практика,2
sometimes,статья,иногда,профессор,2
require,требовать,это,мама,1
along,вместе,преступление,улучшать,1
development,развитие,проект,реагировать,1
themselves,сами,без разницы,бывший,1
report,отчет,держать,мечта/сон,1
role,место,роль,тогда,2
better,но,лучше,меньше,2
economic,звук,указывать на,экономический,3
effort,прежде чем,дарить,усилия,3
decide,решать,море,блюдо,1
rate,работать,темп,бедный,2
strong,недавно,кусочек,сильный,3
possible,"за, вне",дорога,возможный,3
heart,любой,наименее,сердце,3
drug,предлагать,риск,лекарство,3
leader,лидер,предмет,проект,1
light,сторона,бизнес,свет,3
voice,скучать,рука,голос,3
wife,размер,что-нибудь,жена,3
whole,отправлять,целый,после,2
police,узнавать,полиция,фактор,2
mind,благодарность,развивать,разум,3
finally,сидение,сказать,наконец,3
pull,программа,описывать,тянуть,3
return,значит,высокий,возвращаться,3
free,умирать,свободный,книга,2
military,занятие,нуждаться,военный,3
price,цена,сообщение,разный,1
less,вещь,меньший,город,2
according,форма,в соответствии,республиканец,2
decision,к,скорее,решение,3
explain,объяснять,через,сражаться,1
son,толкать,сын,спор,2
